date,open,high,low,close,volume,amount
2025-05-29,1450.78,1464.91,1443.24,1450.78,2185958.0,3375465796.0
2025-05-30,1450.92,1455.49,1427.45,1433.82,3123918.0,4764875947.0
2025-06-03,1420.64,1430.99,1417.82,1421.57,2897918.0,4377892799.0
2025-06-04,1422.98,1434.76,1421.78,1422.48,2300809.0,3480363797.0
2025-06-05,1426.28,1428.17,1415.17,1426.28,2321366.0,3504925524.0
2025-06-06,1426.09,1430.96,1415.92,1419.11,2502307.0,3777727616.0
2025-06-09,1417.82,1421.29,1399.6,1400.01,4495867.0,6723839138.0
2025-06-10,1399.9,1405.56,1389.35,1389.55,3049220.0,4511934584.0
2025-06-11,1391.24,1407.44,1390.58,1394.25,3089282.0,4585522755.0
2025-06-12,1394.25,1397.9,1369.85,1374.47,4990361.0,7306800800.0
2025-06-13,1360.72,1365.96,1342.49,1344.28,5911325.0,8466515559.0
2025-06-16,1320.02,1342.48,1320.0,1339.89,4288787.0,6060448438.0
2025-06-17,1337.73,1344.32,1330.36,1344.32,2723151.0,3868364671.0
2025-06-18,1356.57,1359.81,1338.68,1342.44,3076099.0,4404131364.0
2025-06-19,1343.38,1350.61,1335.07,1343.38,2450072.0,3490268568.0
2025-06-20,1341.1,1357.64,1337.92,1345.89,3481581.0,4990683314.0
2025-06-23,1337.73,1349.97,1323.77,1337.73,2672331.0,3794012343.0
2025-06-24,1340.88,1367.57,1340.88,1353.93,3631151.0,5229183514.0
2025-06-25,1355.73,1365.24,1338.21,1352.67,4105007.0,5869292227.0
2025-06-26,1359.14,1371.63,1354.42,1363.95,3486025.0,4955829982.0
2025-06-27,1363.96,1366.83,1347.7,1347.7,3824973.0,5404312675.0
2025-06-30,1348.1,1357.44,1346.66,1353.88,3045730.0,4287373691.0
2025-07-01,1353.38,1356.2,1347.91,1349.63,1987819.0,2794423203.0
2025-07-02,1353.86,1358.95,1344.74,1353.96,2621825.0,3689246316.0
2025-07-03,1356.26,1366.53,1352.42,1359.72,2441267.0,3456733002.0
2025-07-04,1359.82,1375.37,1354.35,1366.08,2876691.0,4086547268.0
2025-07-07,1366.14,1367.31,1354.35,1355.01,2385467.0,3370562659.0
2025-07-08,1355.02,1363.95,1355.01,1360.21,1867370.0,2643302691.0
2025-07-09,1359.14,1373.52,1358.35,1362.87,2774532.0,3950810723.0
2025-07-10,1362.96,1379.49,1354.72,1370.19,3872503.0,5503329754.0
2025-07-11,1366.98,1400.45,1366.98,1370.67,5724335.0,8239010390.0
2025-07-14,1373.55,1378.33,1365.48,1367.4,2778094.0,3961736006.0
2025-07-15,1364.89,1366.76,1352.73,1355.3,3540578.0,5005150165.0
2025-07-16,1354.35,1361.53,1354.29,1355.33,2128605.0,3006882579.0
2025-07-17,1358.16,1366.84,1357.11,1360.44,2310554.0,3273100406.0
2025-07-18,1363.95,1381.05,1360.47,1380.27,4182341.0,5984949774.0
2025-07-21,1380.27,1389.69,1378.35,1386.04,2620331.0,3779891829.0
2025-07-22,1387.0,1408.71,1383.81,1407.15,4211898.0,6127636851.0
2025-07-23,1411.01,1435.99,1410.96,1417.25,4504484.0,6676301462.0
2025-07-24,1417.74,1439.83,1416.77,1432.62,3880364.0,5786337377.0
2025-07-25,1432.53,1432.53,1395.64,1397.56,4191126.0,6140078741.0
2025-07-28,1395.64,1397.55,1379.6,1381.87,3858632.0,5560966386.0
2025-07-29,1382.77,1391.6,1378.36,1382.2,2630408.0,3785848102.0
2025-07-30,1387.0,1399.64,1380.27,1392.22,3186771.0,4612883040.0
2025-07-31,1386.04,1387.83,1362.02,1365.55,5179751.0,7386302758.0
2025-08-01,1365.74,1369.67,1358.18,1361.06,2963559.0,4200850790.0
